number,notes
I.D.1,"@Werner1737 [p. 5, no. IX.3]"
I.D.2,"@Werner1737 [p. 5, no. IX.5]"
I.G.16,"@Werner1737 [p. 2, no. III.45]"
I.G.17,"@Werner1737 [p. 2, no. III.46]"
I.J.1,"@Werner1737 [p. 5, no. X.7]"
I.J.3,"@Werner1737 [p. 5, no. X.20]"
I.J.4,"@Werner1737 [p. 5, no. X.21]"
I.K.1,"@Werner1737 [p. 2, no. IV.3]"
I.K.2,"@Werner1737 [p. 3, no. IV.5]"
I.K.4,"@Werner1737 [p. 3, no. IV.15]"
I.K.6,"@Werner1737 [p. 3, no. IV.29]"
I.Lb.1,"@Werner1737 [p. 7, no. XVI.2]"
I.Ma.1,"@Werner1737 [p. 4, no. VI.2]"
I.Ma.2,"@Werner1737 [p. 4, no. VI.20]; probably same as I.Ma.30"
I.Ma.3,"@Werner1737 [p. 4, no. VI.21]"
I.Mb.1,"@Werner1737 [p. 4, no. VII.1]"
I.Mb.2,"@Werner1737 [p. 4, no. VII.3]"
I.Mb.3,"@Werner1737 [p. 4, no. VII.4]"
I.Mb.5,"@Werner1737 [p. 4, no. VII.11]"
I.Mc.1,"@Werner1737 [p. 4, no. VIII.9]"
I.Mc.2,"@Werner1737 [p. 4, no. VIII.13]"
I.Md.1,"@Werner1737 [p. 3, no. V.2]"
I.Md.2,"@Werner1737 [p. 3, no. V.10]"
I.Md.3,card with catalogue entry missing; probably WerW I.4.35
I.Md.4,"@Werner1737 [p. 3, no. Va.19]"
I.Md.5,"@Werner1737 [p. 3, no. Va.20]"
I.Md.6,"@Werner1737 [p. 3, no. Va.21]"
I.Md.7,"@Werner1737 [p. 3, no. Va.26]"
I.Md.33,A-Ed K 1 and K 4/1 (by Ferdinand Schmid)
I.Md.34,A-Ed K 4/2 (by Ferdinand Schmid)
I.Md.35,A-Ed K 4/3 (by Ferdinand Schmid)
I.Me.1,"@Werner1737 [p. 5, no. XI.1]"
I.Me.2,"@Werner1737 [p. 5, no. XI.2]"
I.Me.3,"@Werner1737 [p. 5, no. XI.3]"
I.Me.4,"@Werner1737 [p. 5, no. XI.5]"
I.Me.5,"@Werner1737 [p. 5, no. XI.6]"
I.Me.6,"@Werner1737 [p. 5, no. XI.7]"
I.Me.7,"@Werner1737 [p. 5, no. XI.8]"
I.Me.8,"@Werner1737 [p. 5, no. XI.9]"
I.Me.9,"@Werner1737 [p. 5, no. XI.11]"
I.Me.10,"@Werner1737 [p. 5, no. XI.15]"
I.Me.32,card with catalogue entry missing
I.O.1,"@Werner1737 [p. 7, no. XIV.1]"
I.O.2,"@Werner1737 [p. 7, no. XIV.3]"
I.S.1,"@Werner1737 [p. 7, no. XVII.1]"
I.S.2,"@Werner1737 [p. 7, no. XVII.4]"
I.S.3,"@Werner1737 [p. 7, no. XVII.5]"
I.S.4,"@Werner1737 [p. 7, no. XVII.6]"
I.S.5,"@Werner1737 [p. 7, no. XVII.7] (by Aufschnaidter!)"
I.S.6,"@Werner1737 [p. 7, no. XVII.9] (by Tibaldi!)"
II.A.3,unnumbered
