catalogue,number,notes
HarCa,I.D.1,HarIn IX.3
HarCa,I.D.2,HarIn IX.5
HarCa,I.G.16,HarIn III.45
HarCa,I.G.17,HarIn III.46
HarCa,I.J.1,HarIn X.7
HarCa,I.J.3,HarIn X.20
HarCa,I.J.4,HarIn X.21
HarCa,I.K.1,HarIn IV.3
HarCa,I.K.2,HarIn IV.5
HarCa,I.K.4,HarIn IV.15
HarCa,I.K.6,HarIn IV.29
HarCa,I.Lb.1,HarIn XVI.2
HarCa,I.Ma.1,HarIn VI.2
HarCa,I.Ma.2,HarIn VI.20; probably same as I.Ma.30
HarCa,I.Ma.3,HarIn VI.21
HarCa,I.Mb.1,HarIn VII.1
HarCa,I.Mb.2,HarIn VII.3
HarCa,I.Mb.3,HarIn VII.4
HarCa,I.Mb.5,HarIn VII.11
HarCa,I.Mc.1,HarIn VIII.9
HarCa,I.Mc.2,HarIn VIII.13
HarCa,I.Md.1,HarIn V.2
HarCa,I.Md.2,HarIn V.10
HarCa,I.Md.3,card with catalogue entry missing; probably WerW I.4.35
HarCa,I.Md.4,HarIn V.19
HarCa,I.Md.5,HarIn V.20
HarCa,I.Md.6,HarIn V.21
HarCa,I.Md.7,HarIn V.26
HarCa,I.Md.33,A-Ed K 1 and K 4/1 (by Ferdinand Schmid)
HarCa,I.Md.34,A-Ed K 4/2 (by Ferdinand Schmid)
HarCa,I.Md.35,A-Ed K 4/3 (by Ferdinand Schmid)
HarCa,I.Me.1,HarIn XI.1
HarCa,I.Me.2,HarIn XI.2
HarCa,I.Me.3,HarIn XI.3
HarCa,I.Me.4,HarIn XI.5
HarCa,I.Me.5,HarIn XI.6
HarCa,I.Me.6,HarIn XI.7
HarCa,I.Me.7,HarIn XI.8
HarCa,I.Me.8,HarIn XI.9
HarCa,I.Me.9,HarIn XI.11
HarCa,I.Me.10,HarIn XI.15
HarCa,I.Me.32,card with catalogue entry missing
HarCa,I.O.1,HarIn XIV.1
HarCa,I.O.2,HarIn XIV.3
HarCa,I.S.1,HarIn XVII.1
HarCa,I.S.2,HarIn XVII.4
HarCa,I.S.3,HarIn XVII.5
HarCa,I.S.4,HarIn XVII.6
HarCa,I.S.5,HarIn XVII.7 (by Aufschnaidter!)
HarCa,I.S.6,HarIn XVII.9 (by Tibaldi!)
HarCa,II.A.3,unnumbered
HarIn,I.3,M: Fiduciae in Deu(m) Auth: Werner.
HarIn,I.7,M: Post tenbras spero lucem. Tubis et Tymp: Auth: Werner.
HarIn,I.10,M: Laudate Dominum in sonu tubae. Clarinis et Tymp: Aut: Werner.
HarIn,I.13,M: In te Domino speravi Clarinis ad libitum. Auth: Werner.
HarIn,I.16,M: bonae spei. Auth: Werner.
HarIn,I.21,"M: Si Deus pro nobis, quis contra nos. Tubis et Tympanis. Authore Werner."
HarIn,II.1,Missa Exultate Justi. Auth: Werner.
HarIn,II.5,M: in Coeleri Transitu. Auth: Werner.
HarIn,II.11,M: Pax vobis. Auth: Werner.
HarIn,II.16,M: Placebo Domino. Werner.
HarIn,II.22,M: declina à malo. Auth: Werner.
HarIn,II.24,Missa Sti Gregorij alla Capella Auth: Werner.
HarIn,II.25,M: Sti Joannis Nepomuceni in Contrapuncto Auth: Werner.
HarIn,II.28,Missa SS: innocentium à 3 parti Auth: Werner.
HarIn,III.3,Cantantibus Organis. Auth: Werner.
HarIn,III.12,Veni sponsa. Auth: Werner.
HarIn,III.17,Ave Maris stella. Aut: Werner.
HarIn,III.19,Veni Creator. Auth: Werner.
HarIn,III.20,Caro mea. Auth: Werner.
HarIn,III.22,Amavit eum Dominus. Auth: Werner.
HarIn,III.25,In Ecclesia. Auth: Werner.
HarIn,III.27,Ad te Domine. Auth: Werner.
HarIn,III.30,Domum tuam. Auth: Werner.
HarIn,III.31,Haec est Dies. Auth: Werner.
HarIn,III.38,Gloria et honore. Auth: Werner.
HarIn,III.39,Quae est ista. Auth: Werner.
HarIn,III.40,Veni Sancte. Auth: Werner.
HarIn,III.41,Concussum e(st) mare. Werner.
HarIn,III.42,О Altitudo divitiarum. Werner.
HarIn,III.45,4 Offertoria SS: Sacramenti. Auth: Werner.
HarIn,III.46,4. offertoria pro festo Corporis Xti: Auth: Werner.
HarIn,III.47,Lauda Sion. Auth: Werner.
HarIn,IV.3,V: de Beata Virg: Auth: Werner.
HarIn,IV.5,Vesperae Dominicales Tubis et Tym: Auth: Werner.
HarIn,IV.10,Psalm: Memento et Confitebor. Authore Werner.
HarIn,IV.15,V: Apostolis. Auth: Werner.
HarIn,IV.21,Psalm: Beati omnes. Werner.
HarIn,IV.29,V: Dominicales. Werner.
HarIn,V.2,Salve à 4 Tubis et Tympanis Authore Werner.
HarIn,V.3,Salve à 4 Authore Werner.
HarIn,V.6,Salve à 3 voc: Aut: Werner.
HarIn,V.8,Salve à 4. Auth: Werner.
HarIn,V.9,Salve Canto Solo. Werner.
HarIn,V.10,Salve à 4. de Eodem.
HarIn,V.12,Salve à 2 Bassi. Aut: Werner.
HarIn,V.18,Salve alla Capella. Auth: Werner
HarIn,V.19,Salve à 4. Auth: Werner.
HarIn,V.20,Salve alla Capella. Werner.
HarIn,V.21,Salve à 4. Auth: Werner.
HarIn,V.26,Salve à 4. Authore Werner.
HarIn,VI.2,Alma à 4. Auth: Werner.
HarIn,VI.4,Alma à 2. Auth: Werner.
HarIn,VI.14,Alma Basso Solo Werner.
HarIn,VI.20,Alma à 2 Canti. Werner.
HarIn,VI.21,Alma à 4 del Werner.
HarIn,VI.22,Alma à 3 Tenori in Canone Auth: Werner.
HarIn,VII.1,Ave Regina à 4. Auth: Werner.
HarIn,VII.3,Ave à 4 Auth: Werner.
HarIn,VII.4,Ave alla Capella. Werner.
HarIn,VII.5,Ave à 3 Tenori in Canone Authore Werner.
HarIn,VII.9,Ave à 2 in Cantu Chorali Authore Werner.
