no.,title,WerW,S,A,T,B,vl 1,vl 2,vlne,org,vl 1 (newer),vl 2 (newer),extra sheets
1,Exultet coelum laudibus,F.2,3r–v,3r–v,2r–v,2r–v,2r–v,2r–v,2r,1v–2r,1v–2r,1v–2r,
2,Exultet orbis gaudiis,F.3,4r,4r,3r,3r,2v,2v,2v,2v,2r,2v,
3,Vexilla regis,F.4,(4r: tacet),4v,3v,(3r: tacet),3r,3r,2v–3r,2v–3r,2v,2v–3r,
4,Tibi Christe splendor patris,F.5,4v–5r,5r–v,4r–v,3v–4r,3v,3v,3r,3r,3r,3r,
5,Jesu corona virginum,F.6,5v–6r,5v–6r,4v–5r,4r,4r,4r,3v,3v,3v,3v,
6,Iste confessor Domini,F.7,6r–v,6r–v,5r–v,4v–5r,4r,4r,3v,3v,3v,3v–4r,"S (1), A (1)"
7,Ave maris stella,F.8,7r–v,7r–v,6r–v,5r–v,4v,4v,4r,4r,4r,4r–v,"S (1), A (1)"
8,Christe redemptor omnium,F.9,8r–v,7v–8r,6v–7r,(5v: tacet),5r,5r,4v,4v,4v,4v–5r,
9,Iste confessor Domini,F.10,9r–v,8v–9r,7v–8r,6r–v,5v,5v,4v–5r,5r,5r,5r–v,
10,Christe redemptor omnium,F.11,10r–v,9v,8r–v,7r,6r,6r,5r,5v,5v,5v–6r,"S (2x; 1, 1), A (1)"
11,Deus tuorum militum,F.12,11r–v,10r,9r–v,7v,6v,6v,5v,5v–6r,5v–6r,6r,"S (1), A (1)"
12,Salvete flores martyrum,F.13,12r–v,10v–11r,9v–10r,8r,6v–7r,6v,5v,6r,6r,6v,
13,Hostis Herodes impie,F.14,13r–v,11r–v,10v–11r,8v–9r,7r,7r,6r,6v,6v,7r,"S (1), A (1)"
14,Doctor egregie Paule,F.15,14r–v,12r–v,11r–v,9r–v,7v,7v,6v,7r,7r,7v,
15,Jesu dulcis memoria,F.16,15r–16r,12v–13v,12r–v,10r–v,8r,8r,7r,7v–8r,7v,8r–v,"S (2x; 2, 1), A (2x; 2, 1)"
16,Urbs Jerusalem beata,F.17,16v–17v,14r–15r,13r–14r,10v–11v,8v,8v,7v,8r–v,8r,8v–9r,
17,Tristes erant Apostoli,F.18,18r–19r,15v–16r,14r–15r,11v–12v,9r,9r,8r,8v,8v,9r–v,
18,Salutis humanae sator,F.19,19v–20v,16v–17r,15r–16r,12v–13r,9v,9v,8v,9r,9r,9v–10r,"S (2), A (1)"
19,Veni creator Spiritus,F.20,21r–22r,17v–18r,16r–v,13v–14r,10r,10r,9r,9v,9v,10v–11r,"S (1), A (1)"
20,Iam sol recedit,F.21,22r–23r,18v–19r,17r–v,14r–v,10v,10v,9v,10r,10r,11r,"S (1), A (1)"
21,Pange lingua gloriosi,F.22,23v–24r,19v–20r,18r–v,15r–v,11r,11r,10r,10v,10v,11v,
22,Ut queant laxis,F.23,24v–25v,20v–21v,19r–20r,15v–16v,11v,11v,10v,11r,11r,12r,
23,Pater superni luminis,F.24,26r–27r,21v–22v,20r–21r,16v–17r,12r,12r,11r,11v,11v,12v,
24,Quicumque Christum quaeritis,F.25,27v–28v,23r–v,21r–22r,17v–18r,12v,12v,11v,12r,12r,13r,
25,Fortem virili pectore,F.26,29r–v,24r–v,22r–v,18r–v,13r,13r,12r,12v,12v,13v,
26,Christus natus est nobis,F.27,30r,25r,23r,19r,13v,13v,12v,13r,13r–v,14v–15r,
27,Jesu redemptor omnium,F.28,30v,25v,(no tacet),(19v: tacet),(14r: tacet),(14r: tacet),13r,13v,(13v: tacet),(14v: tacet),
28,In dulci jubilo,F.29,31r–v,26r–v,23v–24r,19v–20v,14r,14r,13v,14r,14r,15v,
29,Puer natus in Bethlehem,F.30,32r–v,27r–v,24v–25r,20v–21r,14v,14v,"14r, 15r (first 6 bars)",14v,14v,16r,
-,Decora lux aeterna (Istvánffy),–,32v–33v,27v–29r,25r–26r,21v–22v,15r–v,15r–v,14r–v,14v–15r,15r–v,14r–v,"S (2), A (2)"
