no.,title,WerW,S,A,T,B,vla 1,vla 2,vlne,org
1,Ave maris stella,F.31,1v,1v,1v,1v–2r,1v,1r,1v,2r
2,Exultet orbis gaudiis,F.32,2r–v,2r–v,2r–v,2r–v,2r,1r–v,2r,2v
3,Iste confessor Domini,F.33,2v–3r,2v–3r,2v–3r,3r–v,2v,1v,2v,3r
4,Christe redemptor omnium,F.34,3v,3v,3v,3v–4r,3r,2r,3r,3v
5,Deus tuorum militum,F.35,4r,4r,4r,4v,3v,2r,3v,4r
6,Crudelis Herodes,F.36,4v,4v,4v,5r,3v–4r,2v,3v–4r,4v
7,Jesu dulcis memoria,F.37,5r,5r,5r,5v,4r,3r,4r,5r
8,Egregie Doctor Paule,F.38,5v–6r,5v–6r,5v–6r,6r–v,4v,3v,4v,5v–6r
9,Caelistis urbs Ierusalem,F.39,6r–v,6r–v,6r–v,6v–7r,5r,4r,5r,6r–v
10,Tristes erant Apostoli,F.40,7r,7r,7r,7v,5r–v,4v,5r–v,6v–7r
11,Vexilla regis,F.41,7v,7v,7v,8r,5v,5r,5v,7r
12,Salutis humanae sator,F.42,8r,8r,8r,8v,6r,5v,6r,7v
13,Veni creator Spiritus,F.43,8v,8v,8v,9r,6v,5v–6r,6r,8r
14,Iam sol recedit,F.44,9r,9r,9r,9v,6v,6r,6v,8r–v
15,Pange lingua gloriosi,F.45,9v,9v,9v,10r,7r,6v,6v–7r,8v
16,Ut queant laxis,F.46,10r,10r,10r–v,10v–11r,7r–v,7r,7r,9r
17,Pater superni luminis,F.47,10v–11r,10v,10v–11r,11r–v,7v–8r,7v,7v,9v
18,Fortem virili pectore,F.48,11r–v,11r,11v,11v–12r,8r,7v–8r,7v,10r
19,Quicumque Christum quaeritis,F.49,12r,11v,12r,12v,8v,8r,8r,10v
20,Tibi Christe splendor patris,F.50,12v,12r,13r,13r,8v–9r,8v,8v,11r
21,Placare Christe servulis,F.51,13r,12v,13v,13v,9r,8v–9r,8v,11v
22,Jesu corona virginum,F.52,13v,13r,14r,14r,9v,9r,9r,12r
23,Christus natus est nobis,F.53,14r,13v,14v,14v,9v,9v,9r,12v
24,Jesu redemptor omnium,F.54,14v,14r,15r,(14v: tacet),(10r: tacet),(9v: tacet),9v,13r
25,In dulci jubilo,F.55,15r–v,14v–15r,15v–16r,15r–v,10r,10r,9v,13v
26,Puer natus in Bethlehem,F.56,15v–16r,15r–v,16r–v,15v–16r,10v,10v,10r,14r
27,Jesu corona celsior,F.57,16v,15v–16r,17r–v,17r–v,11r,11r,11r,14v
28,Christo profusum sanguine,F.58,17r,16v,17v–18r,17v–18r,11v,11v,11v,15r
29,Ave maris stella,F.59,17v,17r–v,18v–19r,18v–19r,12r,12r,12r,15v
–,Te Joseph celebrent (Istvánffy),–,18r–v,17v–18v,19v–20v,19v–20r,12v–13r,12v–13r,12v–13r,16r–v
