no.,title,WerW,S,A,T,B,vl 1,vlne,org,sheets
1,Exultet coelum laudibus,F.2,1r,1r,1r–v,1r,1r–v,1r,1r,
2,Exultet orbis gaudiis,F.3,1v,1v,1v,1v,1v,1v,1v,
3,Vexilla regis,F.4,(1v: tacet),2r,2r,(1v: tacet),1v–2r,1v,1v,"(2a), 1v"
4,Tibi Christe splendor patris,F.5,2r,2v,2v,2r,2r,2r,2r,
5,Jesu corona virginum,F.6,2v,3r,3r,2v,2v,2r,2r,
6,Iste confessor Domini,F.7,3r,3v,3v,3r,2v,2v,2v,
7,Ave maris stella,F.8,3v,4r,4r,3v,3r,2v,2v,
8,Christe redemptor omnium,F.9,4r,4v,4v,(3v: tacet),3r,3r,3r,
9,Iste confessor Domini,F.10,4v,5r,5r,4r,3v,3r,3r,
10,Christe redemptor omnium,F.11,5r,5v,5v,4v,3v,3v,3v,"(2a), 1r"
11,Deus tuorum militum,F.12,5v,6r,6r,5r,4r,3v,3v,"(2a), 1r"
12,Salvete flores martyrum,F.13,6r,6v–7r,6v,5v,4r,4r,4r,
13,Hostis Herodes impie,F.14,6v,7r–v,7r,6r,4v,4r,4v,"(2a), 1v"
14,Doctor egregie Paule,F.15,7r,7v–8r,7v,6v,4v,4v,4v–5r,
15,Jesu dulcis memoria,F.16,7v–8r,8r–v,8r–v,7r–v,5r,4v–5r,5r,
16,Urbs Jerusalem beata,F.17,8v–9r,9r–v,8v–9v,7v–8v,5v,5r,5v,
17,Tristes erant Apostoli,F.18,9v–10r,10r–v,9v–10r,8v–9r,6r,5v,6r,
18,Salutis humanae sator,F.19,10r–v,10v–11v,10v–11r,9v,6v,5v–6r,6v,
19,Veni creator Spiritus,F.20,11r–v,11v–12v,11r–v,10r–v,6v–7r,6r,7r,
20,Iam sol recedit,F.21,11v–12r,12v–13r,12r–v,10v–11r,7r,6v,7v,
21,Pange lingua gloriosi,F.22,12v,13v,12v–13r,11v,7v,6v–7r,8r,"(2b), 1r–v"
22,Ut queant laxis,F.23,13r–v,14r–v,13v–14r,12v–12′r,7v–8r,7r,8v,
23,Pater superni luminis,F.24,13v–14r,15r–v,14r–v,12′v,8r,7v,9r,
24,Quicumque Christum quaeritis,F.25,14v–15r,15v–16v,15r–v,13r,8v,7v–8r,9v,
25,Fortem virili pectore,F.26,15v,16v–17r,15v–16r,13v,9r,8r,10r,
26,Jesu redemptor omnium,F.28,16r,17r–v,(16v: tacet),(14r: tacet),(9r: tacet),8v,10v,
27,In dulci jubilo,F.31,16v,18r,16v–17r,14r–v,9r,8v,10v–11r,
28,Exultet orbis gaudiis,F.32,17r,18v–19r,17v–18r,15r–v,9v,9r,11r,
29,Iste confessor Domini,F.33,17v,19r–v,18r–v,15v–16r,9v,9v,11v,
30,Christe redemptor omnium,F.34,18r,20r,18v–19r,16v,10r,9v–10r,11v–12r,
31,Deus tuorum militum,F.35,18v,20v,19v,17r,10r,10r,12r,
32,Crudelis Herodes,F.36,19r,21r,20r,17v,10v,10r,12v,
33,Jesu dulcis memoria,F.37,19v,21v,20v,18r,10v,10v,12v,
34,Egregie Doctor Paule,F.38,20r–v,22r–v,21r–v,18v,11r,10v–11r,13r,
35,Caelistis urbs Ierusalem,F.39,20v–21r,22v–23v,22r–v,19r,11v,11r,13v,
36,Tristes erant Apostoli,F.40,21v,23v–24r,22v–23r,19v,11v–12r,11v,14r,
37,Vexilla regis,F.41,22r,24v,23v,20r,12r,11v,14v and 19r,
38,Salutis humanae sator,F.42,22v,25r,24r,20v,12v,12r,14v–15r,
39,Veni creator Spiritus,F.43,23r,25v,24v,21r,12v,12r,15r,
40,Iam sol recedit,F.44,23v,26r,25r,21v,13r,12v,15v,
41,Pange lingua gloriosi,F.45,24r,26v,25v,22r,13r,12v,15v–16r,
42,Ut queant laxis,F.46,24v,27r,26r–v,22v–23r,13v,13r,16r,
43,Pater superni luminis,F.47,25r,27v–28r,26v–27r,23r–v,13v–14r,13r,16v,
44,Fortem virili pectore,F.48,25v,28r–v,27r–v,23v–24r,14r,13v,17r,"(2a), 2r"
45,Quicumque Christum quaeritis,F.49,26v (=r!),28v–29r,28r,24v,14v,13v,17v,
46,Tibi Christe splendor patris,F.50,26r (=v!),29r–v,28v,25r,14v,14r,17v–18r,
47,Placare Christe servulis,F.51,26r (=v!)–27r,29v–30r,29r,25v,15r,14r,18r,
48,Jesu corona virginum,F.52,27r–v,30r–v,29r–v,26r,15r,14v,18v,
49,Jesu redemptor omnium,F.54,27r,30v,29v,(26r: tacet),15v,14v,19r,
