no.,title,WerW,S,A,T,B,vl 1,vl 2,vlne
1,Exultet coelum laudibus,F.2,1v–2r,1v–2r,1v–2r,1v–2r,1v,1v,1v
2,Exultet orbis gaudiis,F.3,2r–v,2r–v,2r–v,2r–v,2r,2r,2r
3,Vexilla regis,F.4,3r–v,3r–v,3r–v,3r–v,2v,2v,2v
4,Tibi Christe splendor patris,F.5,3v–4r,3v–4r,3v–4r,3v–4r,3r,3r,3r
5,Jesu corona virginum,F.6,4v,4v,4v,4v,3v,3v,3v
6,Iste confessor Domini,F.7,5r,5r,5r,5r,4r,4r,4r
7,Ave maris stella,F.8,5v,5v,5v,5v,4v,4v,4v
8,Christe redemptor omnium,F.9,6r–v,6r–v,6r–v,6r–v,5r,5r,5r
9,Iste confessor Domini,F.10,6v–7r,6v–7v,7r–v,6v–7r,5v,5v–6r,5v
10,Christe redemptor omnium,F.11,7v,7v–8r,7v–8r,7v,5v–6r,6r,6r
11,Deus tuorum militum,F.12,8r,8v,8v,8r,6v,6v,6v
12,Salvete flores martyrum,F.13,8v–9r,9r,9r,8v,7r,7r,7r
13,Hostis Herodes impie,F.14,9r–v,9v,9v,9r,7v,7v,7v
14,Doctor egregie Paule,F.15,10r,10r,10r,9v,7v–8r,7v–8r,7v–8r
15,Jesu dulcis memoria,F.16,10v–11r,10v–11r,10v–11r,10r,8r,8r,8r
16,Urbs Jerusalem beata,F.17,11r–v,11r–v,11r–v,10v–11r,8v,8v,8v
17,Tristes erant Apostoli,F.18,12r–v,12r,12r,11r–v,8v–9r,9r,9r
18,Salutis humanae sator,F.19,12v–13r,12v,12v,11v–12r,9v,9v,9v
19,Veni creator Spiritus,F.20,13v,13r,13r,12v,10r,10r,10r
20,Iam sol recedit,F.21,14r,13v,13v,13r,11v,10v,10v
21,Pange lingua gloriosi,F.22,14v,14r,14r,13v,12r,11r,11r
22,Ut queant laxis,F.23,15r,14v,14v,14r,12v,11v,11v
23,Pater superni luminis,F.24,15v,15r,15r,15v,13r,12r,12r
24,Quicumque Christum quaeritis,F.25,16r,15v,15v,tacet,tacet,tacet,12v
25,Fortem virili pectore,F.26,16v–17r,16v–17r,16v–17r,16v–17r,13v,12v,13r
26,Christus natus est nobis,F.27,17v–18r,17v–18r,17v–18r,17v–18r,14r,13r,13v
27,Jesu redemptor omnium,F.28,18v–19r,18v–19r,18v–19r,18v–19r,14v,13v,14v
28,In dulci jubilo,F.29,19r–v,19v–20r,19v–20r,19v–20r,15r,14r,15r
29,Puer natus in Bethlehem,F.30,20r,20r–v,20v–21r,20v–21r,15v,14v,15v
