no.,p.,title,author,WerW
1,1–2,Litaniae lauretanae,Werner,G.6
2,2–4,Litaniae lauretanae,Werner,G.7
3,5–7,Litaniae lauretanae,Werner,G.2
4,7–8,Litaniae lauretanae,Werner,G.9
5,8–9,Sub tuum praesidium,Werner,I.5.1
6,9–10,Litaniae lauretanae,Werner,G.1
7,10–11,Cadenzen & Ausweichungen,?,-
8,11–12,Litaniae lauretanae,Werner,G.21
9,12–13,Sub tuum praesidium,Werner,I.5.10
10,13,Sub tuum praesidium,Werner,I.5.24
11,13–14,[Cadences],?,-
12,15–17,[Fugue with subject B–A–C–H],Albrechtsberger,(SchA 30/13)
13,18,Sub tuum praesidium,Werner,I.5.15
14,18,Rorate coeli,Werner,D.4.3
15,19,[organ piece],?,-
16,20–21,Orgelfuge a quatro all’Ottava,Albrechtsberger,(SchA 66)
17,22–24,Orgelfuge alla Decima,Albrechtsberger,(WeiAl 101)
18,25,Fuge aus der B. Meſse von Jos. Haydn aus Kyrie,Haydn,(Hob.XXII:10)
19,26,"Fuge aus Requiem, von Richter",Richter,-
20,26,O salutaris hostia [fragment],Palestrina,-
-,27–35,[empty pages],-,-
21,36,Thema von Rung aus Kyrie,Rung,-
22,36,[Fuge] von Beethoven,Beethoven,-
