no.,title,author,WerW,p.,notes
1,Litaniae lauretanae,Werner,G.1,1–3,
2,Ave Regina coelorum,Werner,I.2.9,3–4,
3,Ave Regina coelorum,Werner,I.2.2,4–6,
4,Ave Regina coelorum,Werner,I.2.8,6–7,
5,Litaniae lauretanae,Fux,-,7–10,A-Ee KIR 260
6,Regina coeli,?,-,10–11,
7,Agnus Dei,?,-,11,
8,Litaniae lauretanae,Werner,G.19,12–14,
9,Regina coeli,Werner,I.3.3,15–16,
10,Sub tuum praesidium,Werner,I.5.12,16–17,
11,Sub tuum praesidium,Werner,I.5.19,18–19,
12,Sub tuum praesidium,Werner,I.5.9,20–21,
13,Sub tuum praesidium,Werner,I.5.20,22–23,
14,Litaniae lauretanae,Werner,G.21,23–25,
15,Regina coeli,Frumann,I.3.S1,25–26,
16,Litaniae lauretanae,Werner,G.5,26–30,
