abbreviation,name,unimarc
coro,choir,cmi
coro maschile,mens' choir,cme
coro femminile,womens' choir,cwo
soli,soloists,cve
S,soprano,vso
A,alto,val
T,alto,vte
B,bass (vocal),vbs
fl,flute,wfl
ob,oboe,wob
chalumeau,chalumeau,wch
cnto,cornetto,bct
cl,clarinet,wcl
cdb,corno di bassetto,wbh
fag,bassoon,wba
cor,horn,bho
clno,clarion,bcl
tr,tromba,btr
trb,trombone,btb
a-trb,alto trombone,btb
timp,timpani,pti
vl,violin,svl
vl princ,violin principale,svl
vla,viola,sva
vlc,violoncello,svc
vlne,violone,sve
cemb,cembalo,khp
org,organ,kor
bc,basso continuo,mco
