group,page,number,title,parts,notes,shelfmark
[A] Meſsen,5,48,Meſse von Gregor Werner in F,10,,A 48
,,49,dto … dto in D,10,,A 49
,,50,dto … dto in C,10,,A 50
,,51,dto … dto in C,12,,A 51
,,52,dto … dto in F,8,,A 52
,,53,dto … dto in C,7,fehlt die Orgelſtimme. 1 2/4tl Bogen.,A 53
,,54,dto … dto in C,15,,A 54
,,55,dto … dto in A,7,fehlt die Orgelſtimme. 1 1/4tl Bogen.,A 55
,,56,dto … dto in A,7,fehlt die dto. 1 1/4tl dto.,A 56
,,57,dto … dto in C,11,,A 57
,,58,dto … dto in F,8,,A 58
,,59,dto … dto in D,8,,A 59
,,60,dto … dto in G,10,,A 60
,,61,dto … dto in D,8,,A 61
,,62,dto … dto in E,8,,A 62
,,63,dto … dto in Dmol,8,,A 63
,,64,dto … dto in D,8,,A 64
,,65,dto … dto in Dmol,7,fehlt die Orgelſtimme 1 Bogen.,A 65
,,66,dto … dto in G,8,,A 66
,,67,dto … dto in Dmol,8,,A 67
,,68,dto … dto in A,8,,A 68
,,69,dto … dto in G,8,,A 69
,,69a,zu No 69. ein Benedictus eingelegt,8,,A 69a
,7,70,Meſse von Gregor Werner in D,8,,A 70
,,71,dto … dto in Amol,7,,A 71
,,72,dto … dto in Dmol,7,,A 72
,,73,dto … dto in C,8,,A 73
,,74,dto … dto in C,11,,A 74
,,75,dto … dto in B,8,,A 75
,,76,dto … dto in F,8,,A 76
,,77,dto … dto in Amol,8,,A 77
,,78,dto … dto in F,8,,A 78
,,79,dto … dto in B [correct: G minor],8,,A 79
,,80,dto … dto in G,10,,A 80
,,81,dto … dto in G,8,,A 81
,,94,Meſse von Gregor Werner in D,7,,A 94
[B] Gradualen Offertorien Motetten und andre diverse Arien,17,42,Chorus von Gregor Werner in C,8,Sopran und Alt ½ Bogen zu dupliren.,B 42
,,43,Motetto von dto … in C,8,,B 43
,,44,2 Motetten von dto … in F u B,10,,"B 44:1, B 44:2"
,,45,1 Motteto von dto … in F,8,,B 45
,,46,1 dto dto dto … in C,8,,B 46
,,47,1 Offertorium von dto … in C,11,,B 47
,,48,dto von dto … in C,13,,B 48
,,49,Motetto von Werner in D,8,,B 49
,,50,dto dto … in B,8,,B 50
,,51,dto dto … in F,8,,B 51
,,52,dto dto … in C,11,,B 52
,,53,dto dto … in F,5,,B 53
,,54,dto dto … in C,8,,B 54
,19,55,Motetto von Gregor Werner in G,8,,B 55
,,56,dto von dto in C,8,,B 56 (E 52)
,,57,dto … dto in G,8,,B 57
,,58,dto … dto in G,8,,B 58
,,59,Pange Lingua von Gregor Werner in C,15,,B 59
,,60,Ecce quomodo moritur juſtus v dto in B,12,,56815
,,61,dto … dto … dto in Gmol,8,,B 61
[C] Te Deum Laudamus,55,3,dto [= Te Deum Laudamus] von Caldara in C,10,,C 3
,,4,dto von Gregor Werner in C,13,dto [= Sopran] und Alt 1. dto [= Bogen zu dupliren],C 4
,,5,dto dto in C,10,,C 5
,,6,dto dto in C,10,,C 6
,,7,dto dto in C,11,,C 7
,,8,dto dto in F,8,,C 8
[D] Requiem et Libera,57,11,dto [= Requiem] von Gregor Werner in Dmol,10,,D 11
,,12,dto dto in Cmol.,13,,D 12
,,12a,dabey noch: Intremendo in Cmol,8,,D 12
,,13,Libera me Domine von Werner in Dmol,8,,G 13:1 (D 13)
[E] Paſtoral und Advent Arien,59,5,Paſtoral von Gregor Werner in D. | Sacratiſsima Nativitatis Chriſti horam | designans. Text: Alle meine Ehre etc,10,,E 5
,,8,Paſtorella von Gregor Werner in F. | In Nativitatis D. Text: Zur | Freuden erwachet etc,7,,E 8
,,10,Cantus pro Adventu von einem unbe | kannten Compositeur für Sop. Solo in A. | Text: Wann der Himmel laßet fallen,5,,E 10
,61,23,"Der Nachtwachter von Gregor Werner in D. | Text: Hört ihr Chriſten, und laßt euch ſagen etc.",6,,E 23
,,24,Aria de Adventu von Gregor Werner in C. | Text: Frohlocket ihr Chriſten etc.,6,,E 24
,63,25,Advent Lied von Gregor Werner in B. | a Alto Solo. Text: Laßt ab von euren etc.,7,,E 25
,,26,Der Gugu. Cantilena in Nativitate | Salvatoris von Gregor Werner in C. | a Canto Solo. Text: Nun iſt die größte | Gnadenzeit etc.,9,,E 26
,,27,2. Paſtorellæ von Gregor Werner in C. et D.,4,,"E 27:1, E 27:2"
,,28,Paſtorella de N. d. N. S.g: Chriſto von | Gregor Werner … in a.,9,,E 28
,,29,Paſtorella d. Nat. von Gregor Werner in G.,4,,E 29
,,30,dto dto dto in F.,8,,E 30
,,31,Kirchfarth Lied. in Nat. D. von Gregor | Werner in C. | Text: Ihr Hirten ich muß etc.,8,,E 31
,,32,Paſtorella von Gregor Werner in D.,5,,E 32
,,33,dto von dto in C. | Text: Ehr ſey Gott etc.,9,,E 33
,,34,Pastorella de Nat. Domini von Gregor | Werner in F.,7,,E 34
,,35,Weinacht Lied von Gregor Werner in F | Text: Puer natus in Betlehem etc.,8,,E 35
,,36,dto dto in G. | Text: Indulci Jubilio etc.,8,,E 36
,,37,Pastorella de Nat. Domini von Gregor | Werner in D. | Organo conc:to Text: Laſſet ihr Hirten etc,8,,E 37
,,38,Weinacht Lied von Gregor Werner in D. | Text: Wer da etc.,9,,E 38
,65,39,Advent Lied von Gregor Werner in F. | a Sop. Solo. Text: Es hat kaum etc.,7,,E 39
,,40,Aria pro Adventu v. G. Werner in B. | a Tenore Solo. Text: Wer die arge | Welt will fliehen etc.,6,,E 40
,,41,Cantilena pro Adv. von G. Werner in B. | Text: Laßt finſtere Wolken etc.,5,,E 41
,,42,Aria pro Adv. von G. Werner in G. | a Tenore Solo. Text: Alle die Verlan- | gen etc.,5,,E 42
,,43,Cantilena d. B. V. Maria von G. Werner in G. | a Canto Solo. Text: Nun will ich ein | Solo ſingen etc.,4,,E 43
,,44,Advent Lied. von G. Werner in F. | a Tenore Solo. Text: Tauet ihr Himmel etc,4,,E 44
,,45,Aria pro Adv. v. G. Werner in B. | a Baſso Solo. Text: Auf auf zum Streit etc,5,,E 45
