group,number,title
"A. Concerti à 5 & à 4. Con Flutraversiere, 2 Violini, Viola et Basso.",9,Flutra: 2 Violini & Basso.
,13,Flutra; 2 Violini & Basso.
,16,Flutra: 2 Viol: Viola & Basso.
"D. Parthiae à 3 & à 4. Con Violini, Hautbois & Basso",1,2 Violini & Basso
,2,2 Violini & Basso in duplo (by Tůma!)
,4,2 Violini & Basso
,5,2 Violini & Basso.
,11,2 Violini & Basso.
,13,2 Violini & Basso.
,14,2 Viol: & Basso.
,15,2 Viol: & Basso.
,16,2 Violini & Basso.
,18,2 Violini & Basso.
,19,2 Violini & Basso.
,20,2 Violini & Basso.
,22,2 Violini & Basso.
,24,2 Violini & Basso.
,26,2 Violini & Basso in duplo.
,28,2 Violini & Basso.
,31,2 Violini & Basso.
"F. Sinfonia à 4 & à 5. Con Violini, Viola & Basso",2,"2 Violini, Viola & Bosso."
,11,"2 Violini, Viola & Bosso."
,19,2 Violini & Basso in Sammet eingebunten 6 Sinfon: & 6: Sonate
"G. Sonatae à 3 et à 4. Con Violino 1, Flutraversiere, Basso & Liutto",3,"Flutrav: Violino, Basso & Liutto."
,5,"Flutrav: Violino, Basso & Liutto."
