group,page,number,title
[I] Miſsæ Festivales,1,3,M: Fiduciæ in Deum Auth: Werner
,,7,M: Post tenebras spero lucem | Tubis et Tymp: Aut: Werner
,,10,M: Laudate Dominum in sonu | tubæ Clarinis et Tymp: Aut: Werner
,,13,M: In te Domine speravi | Clarinis ad libitum Auth: Werner.
,,16,M: bonæ Spei. Auth: Werner.
,,21,"M: Si Deus pro nobis, quis | Contra nos. Tubis et Tympanis | Authore Werner."
[II] Miſsæ Feriales,,1,Miſsa Exultate Justi. | Auth: Werner.
,,5,M: in Cœleri Transitu | Auth: Werner.
,,11,M: Pax vobis. Auth: Werner.
,,16,M: Placebo Domino. Werner.
,,22,M: declina à malo. Aut: Werner.
,2,24,Miſsa Sti: Gregorij | alla Capella Auth: Werner.
,,25,M: Sti: Joannis Nepomuceni. | in Contrapuncto Auth: Werner.
,,28,Miſsa SS: innocentium | à 3 parti Auth: Werner.
[III] Offertoria,,3,Cantantibus Organis. Aut: Werner.
,,12,Veni Sponsa. Auth: Werner.
,,17,Ave Maris stella. Aut: Werner.
,,19,Veni Creator. Auth: Werner.
,,20,Caro mea. Auth: Werner.
,,22,Amavit eum Dominus. Auth: Werner.
,,25,In Ecclesia. Auth: Werner.
,,27,Ad te Domine. Auth: Werner.
,,30,Domum tuam. Auth: Werner.
,,31,Hæc est Dies. Auth: Werner.
,,38,Gloria et honore. Auth: Werner.
,,39,Quæ est ista. Auth: Werner.
,,40,Veni Sancte. Auth: Werner.
,,41,Concuſsum e[st] Mare. Werner.
,,42,Ô Altitudo divitiarum. Werner.
,,45,4 Offertoria SS: Sacra= | menti. Auth: Werner.
,,46,4 Offertoria pro festo | Corporis Xti: Aut: Werner.
,,47,Lauda Syon. Auth: Werner.
[IV] Vesperæ,,3,V: de Beata Virg: Auth: Werner.
,3,5,Vesperæ Dominicales | Tubis et Tymp: Auth: Werner.
,,10,Psalm: Memento et Confitebor | Authore Werner.
,,15,V: Apostolis. Auth: Werner.
