siglum,name,rism,url
A-A,"Benediktinerstift Admont, Musikarchiv",30000327,https://stiftadmont.at
A-Ed,Dommusikarchiv Eisenstadt,30000119,https://dommusikarchiv.martinus.at/
A-Ee,"Esterházy-Archiv, Eisenstadt",30000329,https://esterhazy.at
A-EF,"Eferding, Stadtpfarrkirche zum Hl. Hippolyt",30078950,https://www.dioezese-linz.at/eferding
A-Eh,"Haydn-Haus, Eisenstadt",30000330,https://haydnhaus.at/
A-El,"Landesmuseum Burgenland, Eisenstadt",30000332,https://www.burgenland.at/themen/wissenschaft/landesmuseum/
A-Gdab,Diözesanarchiv Graz,51005372,https://www.katholische-kirche-steiermark.at/portal/dioezese/dioezesanarchiv
A-GE,"Prämonstratenserstift Geras, Bibliothek",30000341,https://www.stiftgeras.at
A-GÖ,"Stift Göttweig, Musikarchiv",30000342,https://www.stiftgoettweig.at/portal/de/begegnenerfahren/sammlungen
A-GR,Musikarchiv der Pfarre Gramastetten,30076605,https://www.dioezese-linz.at/gramastetten
A-H,"Stift Herzogenburg, Musikarchiv",30000344,https://www.stift-herzogenburg.at/besuchen-und-entdecken/archiv/
A-HE,"Stift Heiligenkreuz im Wienerwald, Musikarchiv",30000285,https://www.stift-heiligenkreuz-sammlungen.at
A-KN,"Stift Klosterneuburg, Musikarchiv",30000351,https://www.stift-klosterneuburg.at/stift-und-orden/aufgaben/wissenschaft/musikarchiv/
A-KR,"Stift Kremsmünster, Regenterei und Musikarchiv",30000352,https://www.stift-kremsmuenster.at/wissenschaft/musikarchiv
A-KRB,"Pfarre Krenglbach, Pfarrarchiv",30076620,https://www.dioezese-linz.at/pfarren/krenglbach/
A-KRO,"Pfarre Kronstorf, Pfarrarchiv",,https://www.dioezese-linz.at/kronstorf/
A-LA,"Stift Lambach, Musikarchiv",30000354,https://www.stift-lambach.at/musikarchiv/
A-LEDstp,"Stadtpfarrkirche St. Michael, Notenarchiv, Leonding",51000139,https://www.pfarre-leonding.at
A-LIglisic,"Privatbibliothek Dr. Renate Glisic, Linz",30076969,
A-M,"Stift Melk, Musikarchiv",30000359,https://www.stiftmelk.at/einrichtungen-bereiche/sammlungen/musikarchiv/
A-MT,"Pfarre Maria Taferl, Pfarrarchiv",30000363,https://oblaten-mariataferl.at/
A-RAN,"Pfarre Ranshofen, Pfarrarchiv",30077398,https://www.dioezese-linz.at/ranshofen/
A-SB,"Stift Schlierbach, Musiksammlung",30003225,https://www.stift-schlierbach.at/
A-Sd,Archiv der Erzdiözese Salzburg – Musiksammlung,30000370,https://eds.at/archiv/home 
A-SEI,"Stift Seitenstetten, Musikarchiv",30000121,https://stift-seitenstetten.at/
A-SGG,"Pfarre St. Georgen an der Gusen, Pfarrarchiv",30076627,https://www.dioezese-linz.at/st-georgen-an-der-gusen
A-Ssp,"Erzabtei St. Peter, Musikalienarchiv, Salzburg",30000376,https://www.stift-stpeter.at/de/kultur/index.asp?dat=Musikalienarchiv
A-TAI,"Pfarre Taiskirchen, Pfarrarchiv",30076614,https://www.dioezese-linz.at/taiskirchen
A-Wdp,"Bibliothek der Dominikanerprovinz, Wien",30002596,https://wien.dominikaner.org/
A-Wdtö,Archiv der Gesellschaft zur Herausgabe von Denkmälern der Tonkunst in Österreich,30000387,https://dtoe.at/
A-Wgm,"Gesellschaft der Musikfreunde, Musikarchiv",30000388,https://a-wgm.at/
A-WIL,"Stift Wilherhing, Musikarchiv",30000267,https://stiftwilhering.at/kultur/musikarchiv/
A-Wn,"Österreichische Nationalbibliothek, Musiksammlung, Wien",30000398,https://www.onb.ac.at/sammlungen/musiksammlung
A-Wnh,"Österreichische Nationalbibliothek, Sammlung Anthony van Hoboken, Wien",30000399,
A-Wps,"Priesterseminar Wien, Bibliothek",30003228,https://www.priesterseminar.at/bibliothek/
A-Ws,"Schottenstift Wien, Musikarchiv",30000404,https://schotten.wien/stift/stiftsarchiv/
A-Wst,"Wienbibliothek im Rathaus, Musiksammlung, Wien",30000407,https://www.wienbibliothek.at/bestaende-sammlungen/musikhandschriften-musikdrucke
A-Z,"Stift Zwettl, Musikarchiv",30000229,https://www.stift-zwettl.at/kloster-und-pfarren/bibliothek/
B-Bc,"Koninklijk Conservatorium Brussel, Bibliotheek",30000438,https://www.kcb.be/en/Library
CH-Bchristen,"Privatbibliothek Werner Christen, Basel",30000495,
CH-E,"Kloster Einsiedeln, Musikbibliothek",30000006,https://www.kloster-einsiedeln.ch/agenda-kultur/kultur/musikbibliothek
CH-Lz,"Zentral- und Hochschulbibliothek, Luzern",30000523,https://www.zhbluzern.ch/
CZ-Bm,"Moravské zemské muzeum, oddělení dějin hudby, Brno",30000015,https://www.mzm.cz/oddeleni-dejin-hudby/
CZ-Bu,Moravská zemská knihovna v Brně,30000561,https://www.mzk.cz/
CZ-K,"Státní oblastní archiv v Třeboni, pobočka Český Krumlov",30000183,https://www.ceskearchivy.cz/archivni-oddeleni/soa-cesky-krumlov/uvod
CZ-KLm,Vlastivědné muzeum Dr. Hostaše v Klatovech,30003978,https://muzeum.klatovynet.cz/muzeumkt/
CZ-KRA,"Kostel sv. Michaela Archanděla - farní kostel, Králíky",30000586,https://vychodoceskearchivy.cz/home/kontakty/statni-okresni-archiv-usti-nad-orlici/
CZ-LIT,Státní oblástní archiv v Litoměřicích,30000023,https://www.soalitomerice.cz
CZ-ME,"Okresní muzeum, Mělník",30000597,
CZ-Nlob,"Lobkowiczká knihovna a archiv, Nelahozeves",51001639,https://www.lobkowicz.cz/hudebni-archiv
CZ-Pak,Archiv Pražského hradu,30000027,https://www.prazskyhradarchiv.cz/en/archivph/
CZ-Pk,Knihovna Pražské konzervatoře,30000606,https://prazskakonzervator.cz/knihovna-a-archiv/
CZ-Pkřiž,"Rytířský řád křižovníků s červenou hvězdou, hudební sbírka, Praha",30004575,https://www.krizovnici.eu/
CZ-Pmua,"Masarykův ústav a Archiv Akademie věd České republiky, Praha",51001658,https://www.mua.cas.cz
CZ-Pn,"Knihovna Národního muzea, Praha",30002719,https://www.nm.cz/en/about-us/science-and-research/czech-museum-of-music-library-and-archive-study-room
CZ-Pnm,"Národní muzeum - České muzeum hudby, Sbírka hudebněhistorického oddělení, Praha",30000029,https://www.nm.cz/en/about-us/science-and-research/czech-museum-of-music-library-and-archive-study-room
