title,ensemble,conductor,label,label_number,year,track,track_title,id
O selige Nacht. Traditionelle Weihnacht,Concilium musicum Wien,Paul Angerer,Christophorus,CHE 0157-2,2010,8,Pastorelle I G-Dur,N.15
,,,,,,10,Pastorelle II D-Dur,N.2
"Werner: 6 Fugues a 4 / Albrechtsberger: 6 Quartets, Op.16 / Sonata in C (pro festo Paschalis)",Authentic Quartet,Zsolt Kalló,Hungaroton,HCD 32653,2010,1–12,6 Fugues a 4,M.24
Die Jahreszeiten,Concilium musicum Wien,Paul Angerer,Christophorus,CHE 0164-2,2011,–,–,O.1–12
Gregor Werner: Pro adventu,Ars Antiqua Austria,Gunar Letzbor,Challenge Classics,CC 72513,2012,1–2,Quartett (F major),M.24/1
,,,,,,3–4,Quartett II (d minor),M.24/2
,,,,,,5–6,Quartett IV (c minor),M.24/4
,,,,,,7,Cantilena pro Adventu,E.24
,,,,,,8,Cantilena de immaculate,E.26
,,,,,,9–11,Concerto a 5 parti: B,Q.1
,,,,,,12–13,Cantilena pro Adventu de immaculata conceptione,E.4
,,,,,,14–16,Pastorale in G a violini 2,N.17
,,,,,,17–18,Aria pro Dominica prima Adventus,E.5
,,,,,,19–20,Quartett III (c minor),M.24/3
,,,,,,21–22,Quartett V (d minor),M.24/5
,,,,,,23–24,Quartett VI (g minor),M.24/6
Werner: Vesperae De Apostolis / Vesperae De Confessoris / Laetaniae de Venerabili Sacramento,"Schola Cantorum Budapestiensis, Santa Cecilia Vocal Ensemble, Weiner-Szász Chamber Orchestra",János Mezei,Hungaroton,HCD 316467,"2014, 1996","2–6, 10",Vesperae de Apostolis,H.1.11
,,,,,,8,Tristes erant Apostoli,F.18
,,,,,,11,Salve Regina,I.4.3
,,,,,,12,Laetaniae de Venerabili Sacramento,G.8
,,,,,,13–17/21,Vesperae de Confessoris,H.1.13
,,,,,,19,Iste confessor Domini,F.7
,,,,,,22,Salve Regina,I.4.2
"Werner: Masses: Missa Contrapunctata, Missa Festivalis et brevis / Requiem / Te Deum Laudamus",Schola Cantorum Budapestiensis,János Mezei,Hungaroton,HCD 32160,"2014, 2002",2–9,Missa Contrapunctata,B.23
,,,,,,11–21,Requiem,C.3
,,,,,,23–31,Missa Festivalis et brevis,B.22
,,,,,,32,Te Deum,J.2
Baroque Christmas: Cantatas and Concertos,Capella Savaria,Pál Németh,Hungaroton,HCD 12561,"2015, 1995",20–23,Pastorale in D major,N.18
The music of the Habsburg empire. CD 3: Hungary,Ars Antiqua Austria,Gunar Letzbor,Pan Classics,PC 10311,2015,2,Alma Redemptoris mater,I.1.19
,,,,,,8,Regina coeli,I.3.11
Vienna 1728: Cello concertos from 18th century Vienna,Solamente naturali,Michal Stahel,Pavlik Records,PA 0139-2-131,2015,8–11,Concerto per la Camera à 4,Q.2
Gregor Joseph Werner: Der Gute Hirt. Oratorio (1739),Purcell Choir & Orfeo Orchestra,György Vashegyi,Accent,ACC 26502,2020,1–22,–,A.5
Gregor Joseph Werner: Vol. I: Salve Reginas · Pastorellas,la festa musicale,Lajos Rovátkay,audite,97.799,2021,1–4,Salve Regina III/104,I.4.4
,,,,,,5–7,Pastorella III/299,N.14
,,,,,,8–12,Salve Regina III/127,I.4.27
,,,,,,13–14,Pastorella III/298,N.13
,,,,,,15–19,Salve Regina (Eisenstadt),I.4.47
,,,,,,20–22,Pastorella (Eisenstadt),N.20
,,,,,,23–25,Pastorella III/289,N.4
,,,,,,26–29,Salve Regina III/111,I.4.11
,,,,,,30–32,Pastorella III/301,N.16
,,,,,,33–39,Salve Regina III/130,I.4.30
,,,,,,40–42,Pastorella III/300,N.15
,,,,,,43–47,Salve Regina III/121,I.4.21
,,,,,,48,"O clemens, o pia",I.4.52/7
Gregor Joseph Werner: Vol. II: Requiem,"la festa musicale, Voktett Hannover",Lajos Rovátkay,audite,97.808,2022,1–2,"Der verlorene Sohn III/6, Introductio",A.11/1
,,,,,,3,In monte oliveti,D.3.2/1
,,,,,,4–5,"Absalon III/3, Introductio",A.7/1
,,,,,,6,Ecce vidimus eium,D.3.2/3
,,,,,,7–8,"Job III/7, Introductio",A.12/1
,,,,,,9–22,Requiem in C Minor III/37,C.1
,,,,,,23–24,Sonatina in G Minor III/272,M.4
,,,,,,25,Miserere mei Deus III/264,H.2.7
Gregor Joseph Werner: Vol. III: Masses and Motets,"la festa musicale, Voktett Hannover",Lajos Rovátkay,audite,97.819,2023,1–20,"Missa ""Sunt bona mixta malis"" III/19",B.6
,,,,,,21,"Motetto ""Alma redemptoris mater"" III/160",I.1.1
,,,,,,22,"Motetto ""Ave Regina coelorum""",I.2.15
,,,,,,23–26,Sonata prima,M.17
,,,,,,27,"Motetto ""Sub tuum praesidium"" III/249",I.5.18
,,,,,,28,"Motetto ""Regina coeli"" III/189",I.3.1
,,,,,,29–50,"Missa solemnis ""Post nubila Phoebus""",B.39
,,,,,,51,"Motteto de Confessore ""Ecce homo""",D.1.10
Gregor Joseph Werner: Vol. IV: Werner & Caldara,"la festa musicale, Voktett Hannover",Lajos Rovátkay,audite,97.833,2024,4–6,Sinfonia in D Major,M.S1/1
,,,,,,10,Ave maris stella,F.8
,,,,,,11,Fugue No. 6 in A Major,M.S1/6
,,,,,,13–15,Tota pulchra es Maria,D.1.6
,,,,,,16–17,Sonata à 4 in D Minor,M.14
,,,,,,18–25,Requiem in G Minor,C.3
Gregor Joseph Werner: Vol. V: Festive Masses,la festa musicale,Anne Marie Harer,audite,97.836,2026,1–20,"Missa ""Trinitas in unitate veneranda""",B.1
,,,,,,21–23,Symphonia tertia,P.6
,,,,,,24–27,"Motetto ""Iam hyems transiit""",D.1.4
,,,,,,28–45,"Missa ""Iam hyems transiit""",B.13
