rism_id,title,title_alt,genre,siglum,shelfmark,manual_intervention,notes,
1001101087,Litanies,,Litanies,A-A,787,,,
600037859,Masses,Missa Post nubila Phoebus,Masses,A-Ed,A 50,,,
600037860,Masses,,Masses,A-Ed,A 51,,,
600037861,Masses,,Masses,A-Ed,A 52,,,
600037862,Masses,Missa Estote hilarioris animi,Masses,A-Ed,A 53,,,
600037863,Masses,Missa Vicit leo de tribu Juda,Masses,A-Ed,A 54,,,
600037864,Masses,Missa S Theclae,Masses,A-Ed,A 55,,,
600037865,Masses,Missa Mallo mori quam faedari,Masses,A-Ed,A 56,,,
600037866,Masses,,Masses,A-Ed,A 58,,,
600037867,Masses,,Masses,A-Ed,A 60,,,
600037868,Masses,,Masses,A-Ed,A 61,,,
600037869,Masses,Missa In pace dormiam et requiescam,Masses,A-Ed,A 63,,,
600037870,Masses,,Masses,A-Ed,A 64,,,
600037871,Masses,Missa solitudinis,Masses,A-Ed,A 65,,,
600037872,Masses,,Masses,A-Ed,A 66,,,
600037874,Masses,,Masses,A-Ed,A 68,yes,shelfmark in RISM „A 69“,
600037873,Masses,,Masses,A-Ed,A 69,,includes Benedictus A69a,
600037875,Masses,,Masses,A-Ed,A 70,,,
600037876,Masses,,Masses,A-Ed,A 73,,,
600037877,Masses,,Masses,A-Ed,A 75,,,
600037878,Masses,Missa Pauci sunt dies mei,Masses,A-Ed,A 76,,,
600037879,Masses,,Masses,A-Ed,A 77,,,
600037881,Masses,,Masses,A-Ed,A 81,,,
600037892,Masses,,Masses,A-Ed,A 94,,,
600037966,Masses,,Masses,A-Ed,A 176,,by Scheibl (see 600077536),
600038017,Caelestia mortales,,Sacred songs,A-Ed,B 42,,,
600038018,Estote fortes in bello,,Motets,A-Ed,B 43,,,
600038019,Estote fortes in bello,,Motets,A-Ed,B 44 (1),,shelfmark suffix added,
600038019,Estote fortes in bello,,Motets,A-Ed,B 44 (2),yes,added,
600038020,Jam hiems transiit,,Motets,A-Ed,B 46,,,
600038021,Tota pulchra,,Motets,A-Ed,B 49,,,
600038022,Veni Creator Spiritus,,Motets,A-Ed,B 50,,,
600038023,Motets,,Motets,A-Ed,B 51,,,
600038024,Plaudentes virgini,,Motets,A-Ed,B 52,,,
600038025,Veni Creator Spiritus,,Motets,A-Ed,B 54,,,
600038026,Euge serve bone,,Motets,A-Ed,B 55,,,
600038027,Ave Maria,,Sacred songs,A-Ed,B 56,,,
600038028,Ecce quomodo moritur justus,,Sacred songs,A-Ed,B 61,,,
600038245,Te Deum,,Hymns,A-Ed,C 4,,,
600038246,Te Deum,,Hymns,A-Ed,C 5,,,
600038247,Te Deum,,Hymns,A-Ed,C 7,,,
600038248,Te Deum,,Hymns,A-Ed,C 8,,,
600038265,Requiems,,Requiems,A-Ed,D 11,,,
600038266,Requiems,,Requiems,A-Ed,D 12,,,
600038298,In monte Oliveti,,Responsories,A-Ed,F 5,,,
600038299,Omnes amici mei,,Responsories,A-Ed,F 6,,,
600038318,O salutaris hostia,Stationes,Responsories,A-Ed,F 32,,,
600038319,O salutaris hostia,,Sacred songs,A-Ed,F 32a,,,
600038469,Vespers,,Vespers,A-Ed,G 73,,,
600038470,Vespers,,Vespers,A-Ed,G 74,,,
600038320,Vespers,,Vespers,A-Ed,G 75,,,
600038321,Vespers,,Vespers,A-Ed,G 76,,,
600038322,Vespers,,Vespers,A-Ed,G 77,,,
600038323,Vespers,,Vespers,A-Ed,G 78,,,
600038324,Vespers,,Vespers,A-Ed,G 79,,,
600038325,Vespers,,Vespers,A-Ed,G 80,,,
600038326,Magnificat,,Canticles,A-Ed,G 81,,,
600038327,Laudate pueri,,Psalms,A-Ed,G 82,,,
600038328,Dixit Dominus,,Psalms,A-Ed,G 83,,,
600038329,Confitebor tibi Domine,,Psalms,A-Ed,G 84,,,
600038330,In exitu Israel,,Psalms,A-Ed,G 85,,,
600038331,Litanies,,Litanies,A-Ed,G 89,,,
600038332,Litanies,,Litanies,A-Ed,G 101,,,
600038333,Litanies,,Litanies,A-Ed,G 105,,,
600038474,Alma redemptoris mater,,Antiphons,A-Ed,H 4,,,
600038475,Alma redemptoris mater,,Antiphons,A-Ed,H 5,,,
600038476,Alma redemptoris mater,,Antiphons,A-Ed,H 6,,,
600038477,Alma redemptoris mater,,Antiphons,A-Ed,H 7,,,
600038478,Alma redemptoris mater,,Antiphons,A-Ed,H 8,,,
600038479,Alma redemptoris mater,,Antiphons,A-Ed,H 9,,,
600038480,Alma redemptoris mater,,Antiphons,A-Ed,H 12,,,
600038481,Alma redemptoris mater,,Antiphons,A-Ed,H 13,,,
600038482,Alma redemptoris mater,,Antiphons,A-Ed,H 13a,,,
600038483,Alma redemptoris mater,,Antiphons,A-Ed,H 14,,,
600038504,Ave regina,,Sacred songs,A-Ed,I 3,,,
600038505,Ave regina,,Sacred songs,A-Ed,I 4,,,
600038506,Ave regina,,Sacred songs,A-Ed,I 5,,,
600038507,Ave regina,,Sacred songs,A-Ed,I 6,,,
600038508,Ave regina,,Sacred songs,A-Ed,I 9,,,
600038541,Regina caeli,,Antiphons,A-Ed,J 13,,,
600038542,Regina caeli,,Antiphons,A-Ed,J 16,,,
600038543,Regina caeli,,Antiphons,A-Ed,J 17,,,
600038544,Regina caeli,,Antiphons,A-Ed,J 18,,,
600038545,Regina caeli,,Antiphons,A-Ed,J 19,,,
600038580,Salve regina,,Antiphons,A-Ed,K 22,,,
600038581,Salve regina,,Antiphons,A-Ed,K 25,,,
600038582,Salve regina,,Antiphons,A-Ed,K 27,,,
600038583,Salve regina,,Antiphons,A-Ed,K 28,,,
600038584,Salve regina,,Antiphons,A-Ed,K 29,,,
600038585,Salve regina,,Antiphons,A-Ed,K 30,,,
600038586,Salve regina,,Antiphons,A-Ed,K 31,,,
600038587,Salve regina,,Antiphons,A-Ed,K 32,,,
600038588,Salve regina,,Antiphons,A-Ed,K 33,,,
600038589,Salve regina,,Antiphons,A-Ed,K 34,,,
600038617,Sub tuum praesidium,,Sacred songs,A-Ed,L 1,,,
600038618,Sub tuum praesidium,,Sacred songs,A-Ed,L 2,,,
600038619,Sub tuum praesidium,,Sacred songs,A-Ed,L 4,,,
600038620,Sub tuum praesidium,,Sacred songs,A-Ed,L 5,,,
600038621,Sub tuum praesidium,,Sacred songs,A-Ed,L 6,,,
600038622,Sub tuum praesidium,,Sacred songs,A-Ed,L 8,,,
600038623,Sub tuum praesidium,,Sacred songs,A-Ed,L 9,,,
600038624,Sub tuum praesidium,,Sacred songs,A-Ed,L 11,,,
600038625,Sub tuum praesidium,,Sacred songs,A-Ed,L 12,,,
600038626,Sub tuum praesidium,,Sacred songs,A-Ed,L 13,,,
600038633,Doctor egregie Paule,,Hymns,A-Ed,M 7,,,
600038634,Ecce panis angelorum,,Sacred songs,A-Ed,M 8,,,
600038635,Tristes erant apostoli,,Hymns,A-Ed,M 9,,,
600038636,Salutis humanae sator,,Hymns,A-Ed,M 10,,,
600038637,Salutis humanae sator,,Hymns,A-Ed,M 11,,,
